Version ID	Index	Master ID	Skeletal code	Skeletal element	Year this sample was first published [for a present-day sample it is this version of the sample. missing: GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]	Publication	Representative contact	Method for Determining Date (including any warnings)	Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	GroupID	Locality	Country	Lat.	Long.	Data source	No. Libraries	Coverage on autosomal targets	SNPs hit on autosomal targets	Mean length of shotgun sequences (merged data)	Sex	Family ID and position within family	Y haplogroup  in ISOGG v15.73 notation (automatically called)	mtDNA coverage (merged data)	mtDNA haplogroup if ≥2 coverage or published (merged data or consensus if not available)	mt haplogroup published	mt haplogroup published reference	mtDNA match to consensus if ≥2 coverage (merged data)	Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)	Sex ratio [Y/(Y+X) counts] (merged data)	Xcontam ANGSD SNPs (only if male)	Xcontam ANGSD MOM point estimate (only if male and ≥200)	Xcontam ANGSD MOM Z-score (only if male and ≥200)	Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and ≥200)	contamLD est	contamLD s.e.	contamLD warning	contamLD s.e.	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	LibraryID(s)	ASSESSMENT (Xcontam interval is listed if lower bound is >0.005, "QUESTIONABLE" if lower bound is 0.01-0.02, "QUESTIONABLE_CRITICAL" or "FAIL" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is "QUESTIONABLE"; <0.9 is "QUESTIONABLE_CRITICAL", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is "QUESTIONABLE_CRITICAL/FAIL" if <0.01, "QUESTIONABLE" for 0.01-0.03, and recorded but passed if 0.03-0.05; libraries with fully-treated last base are "QUESTIONABLE_CRITICAL" or "FAIL" if <0.03, "QUESTIONABLE" if 0.03-0.06, and recorded but passed if 0.06-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))	Anatolian	Yamnaya	Mesolithic_HG	PC1	PC2	PC3	PC4
I1280	888	I1280	MIR17	tooth	2015	MathiesonNature2015	Lalueza-Fox, Carles	Context: Layer dates of 2568-2346 calBCE (3950±30 BP, Beta-416457), 2857-2492 calBCE (4080±30 BP, Beta-416456), 2867-2573 calBCE (4110±30 BP, Beta-416458), 2900-2675 calBCE (4210±30 BP, Beta-416455)) on individuals from same site calibrated by 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4550	173	2900-2300 BCE	Spain_C	Burgos, Atapuerca, El Mirador Cave	Spain	42.33333333	-3.5	1240K	1	0.22	202133	..	F	n/a (no relatives detected)	..	563	J1c1	..	..	[0.995,0.999]	0.111	0.01	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.011	0.02	None	[0,0.05]	ds.half	S1280.E1.L1	PASS	0.52974889452479	0.47025110547521	0	2.37528475475066	23.6454054449424	32.5414524568329	-15.4000922765297
I1276	885	I1276	MIR13	tooth	2015	MathiesonNature2015	Lalueza-Fox, Carles	Context: Layer dates of 2568-2346 calBCE (3950±30 BP, Beta-416457), 2857-2492 calBCE (4080±30 BP, Beta-416456), 2867-2573 calBCE (4110±30 BP, Beta-416458), 2900-2675 calBCE (4210±30 BP, Beta-416455)) on individuals from same site calibrated by 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4550	173	2900-2300 BCE	Spain_C	Burgos, Atapuerca, El Mirador Cave	Spain	42.33333333	-3.5	1240K	1	0.104	113480	..	F	n/a (no relatives detected)	..	365	H3c3	..	..	[0.998,1.000]	0.073	0.013	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.005	0.033	Model_Misspecified	[0,0.06]	ds.half	S1276.E1.L1	PASS	0	1	0	53.9084049430586	14.611201847482	20.987178025043	-15.4592890097668
I1274	887	I1274	MIR11	tooth	2015	MathiesonNature2015	Lalueza-Fox, Carles	Context: Layer dates of 2568-2346 calBCE (3950±30 BP, Beta-416457), 2857-2492 calBCE (4080±30 BP, Beta-416456), 2867-2573 calBCE (4110±30 BP, Beta-416458), 2900-2675 calBCE (4210±30 BP, Beta-416455)) on individuals from same site calibrated by 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4550	173	2900-2300 BCE	Spain_C_brother.I1277	Burgos, Atapuerca, El Mirador Cave	Spain	42.33333333	-3.5	1240K	1	0.147	153183	..	M	Spain, Burgos, Atapuerca, El Mirador Cave Family A (3 members) (I1271 is a 2nd or 3rd degree relative of I1274 and I1277; I1274-I1277 are 1st degree relatives)	I2a1b1b	356	H3	..	..	[0.996,1.000]	0.096	0.436	40	n/a (<200 SNPs)	n/a (<200 SNPs)	n/a (<200 SNPs)	0.023	0.025	None	[0,0.072]	ds.half	S1274.E1.L1	PASS	0	1	0	24.881702453624	23.8094596958662	31.3749063309379	-23.6570823264215
I1271	1404	I1271	MIR1	tooth	2015	MathiesonNature2015	Lalueza-Fox, Carles	Context: Layer dates of 2568-2346 calBCE (3950±30 BP, Beta-416457), 2857-2492 calBCE (4080±30 BP, Beta-416456), 2867-2573 calBCE (4110±30 BP, Beta-416458), 2900-2675 calBCE (4210±30 BP, Beta-416455)) on individuals from same site calibrated by 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4550	173	2900-2300 BCE	Spain_C	Burgos, Atapuerca, El Mirador Cave	Spain	42.33333333	-3.5	1240K	1	0.241	231359	..	F	Spain, Burgos, Atapuerca, El Mirador Cave Family A (3 members) (I1271 is a 2nd or 3rd degree relative of I1274 and I1277; I1274-I1277 are 1st degree relatives)	..	180	K1a+195	K1a	..	[0.995,0.999]	0.1	0.009	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.004	0.028	None	[0,0.059]	ds.half	S1271.E1.L1	PASS	0.573103414896607	0.426896585103393	0	3.04917383674217	27.5772610921044	35.5065969449604	-16.015504397283
MX190	17023	MX190	Individuum 14/6	petrous	2020	FurtwanglerNatureCommunications2020	Krause, Johannes	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4530	97	2855-2460 calBCE (4035±50 BP, ETH-19935)	Switzerland_EBA_2_brother.MX188	Spreitenbach CWC	Switzerland	47.255	8.2158	1240K	1	0.914977	506297	..	M	Switzerland Spreitenbach CWC Family A (3 members) (MX188 and MX190 are brothers and are both 2nd or 3rd degree relatives of MX191)	I2a1a2	..	U2e2a1d	..	..	..	..	..	..	0.0092	..	..	-0.008	0.013	None	[0,0.017]	ds.half	MX190	PASS	0.385608821758132	0.141885276498188	0.47250590174368	-31.8927199865681	-24.0604701074822	-20.9782988598599	-2.97450134946139
Plinkaigalis241	6842	Plinkaigalis241	Plinkaigalis241	..	2018	MittnikNatureCommunications2018	..	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4528	103	2861-2356 calBCE (4030±55 BP, OxA-5928)	Lithuania_LN	Plinkaigalis	Lithuania	55.41	23.647	1240K	..	0.20442	191452	..	F	n/a (no relatives detected)	..	..	I2	..	..	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.021	0.02	None	[0,0.018]	half	..	PASS (literature)	0	1	0	51.1727524420108	-19.7492600090719	-17.6075803416736	19.1496129535005
MX191	17024	MX191	Individuum 10/16	petrous	2020	FurtwanglerNatureCommunications2020	Krause, Johannes	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4523	75	2837-2472 calBCE (4050±30 BP, ETH-44196.2)	Switzerland_EBA_2	Spreitenbach CWC	Switzerland	47.255	8.2158	1240K	1	1.375076	613577	..	M	Switzerland Spreitenbach CWC Family A (3 members) (MX188 and MX190 are brothers and are both 2nd or 3rd degree relatives of MX191)	I2a1a2	..	H3+16189	..	..	..	..	..	..	0.0079	..	..	-0.014	0.01	None	[0,0.006]	ds.half	MX191	PASS	0.425034743067727	0	0.574965256932273	-37.2647106003434	-27.0839656464969	-26.0075627099524	-10.4655831868029
I0826	931	I0826	10400A, 6805	tooth	2018	OlaldeNature2018	Haak, Wolfgang	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4522	72	2835-2473 calBCE (4051±28 BP, MAMS-25940)	Spain_C	Barcelona, Cerdanyola, Paris Street	Spain	41.49194444	2.138888889	1240K	1	0.104	112957	..	M	n/a (no relatives detected)	I2a1b1	105	H1t	..	..	[0.983,0.993]	..	0.533	..	..	..	..	-0.089	0.052	Model_Misspecified	[0,0.013]	ds.half	S0826.L1	PASS	0	1	0	45.080796345168	27.3411152017056	26.3749694200277	-29.2251294251746
I1392	6119	I1392	13-Grave 9	tooth	2018	OlaldeNature2018	Lemercier, Olivier	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4516	70	2835-2472 calBCE (4047±29 BP, MAMS-25935)	France_BellBeaker_NoSteppe	Haut-Rhin, Hégenheim Necropole	France	47.56	7.52	1240K	3	0.975419	632716	..	F	n/a (no relatives detected)	..	..	H1+152	..	..	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.002	0.014	None	[0,0.025]	ds.half,ds.half,ds.half	S1392.E1.L1,S1392.E1.L4,S1392.E1.L5	PASS	0.868210431555416	0	0.131789568444584	-40.9145400006575	27.8195669043479	13.9665302008492	8.07821179660947
I2499	6148	I2499	U1c	petrous	2017	LazaridisNature2017	Pinhasi, Ron	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4514	74	2836-2468 calBCE (4040±35 BP, Poz-82213)	Turkey_EBA	Mediterranean, Isparta, Harmanören-Göndürle Höyük	Turkey	37.91774	30.70839	1240K	4	0.470644	382506	..	F	n/a (no relatives detected)	..	..	K1a2	..	..	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.008	0.009	None	[0,0.026]	ds.half,ds.half,ds.half,ds.half	S2499.E1.L2,S2499.E1.L3,S2499.E1.L4,S2499.E1.L5	PASS (mtmatchmax=0.957-0.996)	0.722149230220018	0.277850769779982	0	-10.4133449869841	33.7846474808912	-18.9740077018067	-16.7792078191376
RK4002	13434	RK4002	RK4002.B0101, BZNK-304/2, Rasshevatskiy 4, kurgan 1, grave 5	tooth (molar)	2019	WangNatureCommunications2019	Krause, Johannes	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4510	58	2662-2474 calBCE (4050±22 BP, MAMS-29820)	Russia_Steppe_Catacomb	Kuban steppe, Rasshevatskij 4	Russia	45.535978	41.059517	1240K	..	1.118488	633034	..	M	n/a (no relatives detected)	R1b1a1b1	..	U4d3	U4d3	Unspecified, WangNatureCommunications2019	..	..	..	..	0.00961	..	..	-0.005	0.011	None	[0,0.017]	half	..	PASS (literature)	0.222644112592716	0	0.777355887407284	-36.1402545733194	-52.2585389160193	-46.8349144390487	-26.7605176985625
MX198	17030	MX198	Individuum 1	petrous	2020	FurtwanglerNatureCommunications2020	Krause, Johannes	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4509	117	2861-2342 calBCE (4015±65 BP, ETH-17371)	Switzerland_EBA_2	Spreitenbach CWC	Switzerland	47.255	8.2158	1240K	1	1.070972	551547	..	F	n/a (no relatives detected)	..	..	J1c4	..	..	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.003	0.01	None	[0,0.017]	ds.half	MX198	PASS	0.380817902491384	0.110406524416323	0.508775573092293	-32.7894708419462	-26.4024250028967	-23.9834264100041	-5.19868524818198
CAK68.SG	17907	CAK68	CaK 1_68, Burial 16, Probably Cairn H	petrous	2020	CassidyNature2020	Cassidy, Lara; Bradley, Daniel	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4503	69	2834-2466 calBCE (4031±37 BP, UBA-30808)	Ireland_LN.SG	Ireland, Sligo, Carrowkeel	Ireland	54.058617	-8.382059	Shotgun	..	1.405873	884941	..	M	..	I2a1b1a1a1	..	..	H	CassidyNature2020	..	..	..	..	..	..	..	..	..	..	..	ds.half	..	PASS (literature)	0.852235561189115	0.0380621002778396	0.109702338533045	-36.3800511597593	28.0939660701369	27.1198580500213	12.2636352096768
I0823	927	I0823	10360A, 749	tooth	2018	OlaldeNature2018	Haak, Wolfgang	Context: Archaeological period	4500	173	2850-2250 BCE	Spain_C	Barcelona, Cerdanyola, Paris Street	Spain	41.49194444	2.138888889	1240K	1	0.054	60463	..	F	n/a (no relatives detected)	..	86.8	H1	..	..	[0.990,0.997]	0.082	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.105	0.017	None	[0.072,0.138]	ds.half	S0823.L1	PASS	0	1	0	66.9939438950292	14.4389888830667	17.4644460109287	-19.1486104304476
I0262	929	I0262	10381A, 2980	tooth	2018	OlaldeNature2018	Haak, Wolfgang	Context: Archaeological period	4500	173	2850-2250 BCE	Spain_C	Barcelona, Cerdanyola, Paris Street	Spain	41.49194444	2.138888889	1240K	1	0.084	92174	..	F	n/a (no relatives detected)	..	135	U5b3	..	..	[0.998,1.000]	0.144	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.019	0.039	Model_Misspecified	[0,0.095]	ds.half	S1246.L1	PASS	0	1	0	58.1424808448659	14.9956032573225	20.1240626070778	-16.1932045804719
I0261	926	I0261	10378A, 2976	tooth	2018	OlaldeNature2018	Haak, Wolfgang	Context: Archaeological period	4500	173	2850-2250 BCE	Spain_C	Barcelona, Cerdanyola, Paris Street	Spain	41.49194444	2.138888889	1240K	1	0.047	52264	..	M	n/a (no relatives detected)	R1b	109	U5b1i	..	..	[0.984,0.992]	0.125	..	..	..	..	..	0.082	0.023	None	[0.037,0.127]	ds.half	S1245.L1	PASS	0	1	0	73.9174974810464	8.87114711895078	11.2550038596653	-10.9538260089186
I0260	925	I0260	10370A, 1667	tooth	2018	OlaldeNature2018	Haak, Wolfgang	Context: Archaeological period	4500	173	2850-2250 BCE	Spain_C	Barcelona, Cerdanyola, Paris Street	Spain	41.49194444	2.138888889	1240K	1	0.046	51816	..	F	n/a (no relatives detected)	..	101	K1a2a	..	..	[0.999,1.000]	0.127	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.047	0.04	Model_Misspecified	[0,0.125]	ds.half	S1244.L1	PASS	0	1	0	69.8333694306722	14.3994320899555	15.3818838189257	-19.1769980954226
I0258	928	I0258	10367A, 1664	tooth	2018	OlaldeNature2018	Haak, Wolfgang	Context: Archaeological period	4500	173	2850-2250 BCE	Spain_C	Barcelona, Cerdanyola, Paris Street	Spain	41.49194444	2.138888889	1240K	1	0.056	62877	..	F	n/a (no relatives detected)	..	108	H1q	..	..	[0.982,0.990]	0.119	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.084	0.032	None	[0.021,0.147]	ds.half	S1242.L1	PASS	0	1	0	70.9779802618258	12.5219356900772	13.83837143721	-15.1191458564145
RA54	17064	RA54	Seengen1	Skull fragment	2020	FurtwanglerNatureCommunications2020	Krause, Johannes	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4498	58	2660-2468 calBCE (4035±30 BP, ETH-44203)	Switzerland_EBA_1	Seengen	Switzerland	47.1936	8.122	1240K	1	0.122904	123020	..	F	n/a (no relatives detected)	..	..	J2b1a2	..	..	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.04	0.068	None	[0,0.173]	ds.half	RA54	PASS	0	1	0	30.6393485286292	27.6671344810044	26.632992108808	-27.9031622203853
MX196	17028	MX196	Individuum 13/18	petrous	2020	FurtwanglerNatureCommunications2020	Krause, Johannes	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4495	55	2627-2470 calBCE (4034±29 BP, ETH-44195.1)	Switzerland_EBA_2	Spreitenbach CWC	Switzerland	47.255	8.2158	1240K	1	1.210559	571769	..	F	n/a (no relatives detected)	..	..	J1c3	..	..	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.006	0.01	None	[0,0.026]	ds.half	MX196	PASS	0.432629917758409	0	0.567370082241591	-38.7097482155229	-26.1684255381829	-24.3578903446177	-8.14994708121274
Gyvakarai1~10bp	6822	Gyvakarai1_10bp	Gyvakarai1_10bp	..	2018	MittnikNatureCommunications2018	..	Direct (WARNING MISSING LAB CODE, MISSING UNCALIBRATED DATE, NEED TO CHANGE TO INTCAL20): IntCal13	4495	43	2620-2470 calBCE	Lithuania_LN	Gyvakarai	Lithuania	55.918	24.913	1240K	..	4.482811	1137323	..	M	n/a (no relatives detected)	R1a1a1	..	K1b2a	..	..	..	..	..	..	..	..	..	-0.034	0.006	None	[0,0]	ds.minus	..	PASS (literature)	0.288495291788332	0	0.711504708211668	-39.4867321850064	-44.1975683950667	-41.0001890720114	-24.2417721293922
ber2F.SG	15939	ber2	ber2	tooth	2019	MalmstromProcBiolSci2019	Malmstrom, Helena	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4492	53	2625-2469 calBCE (4030±30 BP, Beta-423306)	Sweden_BAC.SG	Bergsgraven	Sweden	58.415833	15.625278	Shotgun	..	0.221895	233422	..	F	n/a (no relatives detected)	..	443	N1a1a1a1	..	HaploFind; PhyloTree mtDNA Build 17, 18 (Feb 2016)	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	..	..	..	..	ds.minus	..	PASS (literature)	0	1	0	64.6746087045013	-15.4972679091916	-11.8082087793277	18.9511228272652
RISE94.SG	1306	RISE94	grave 26:I	tooth	2015	AllentoftNature2015	..	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4487	48	2623-2468 calBCE (4025±30 BP, OxA-29033)	Sweden_BattleAxe.SG	Viby	Sweden	56.025	14.233	Shotgun	1	0.927	607380	..	M	n/a (no relatives detected)	R1a1a1	..	K1a2a	..	..	..	..	..	..	..	..	..	0.029	0.005	None	[0.019,0.039]	ds.minus	RISE94	PASS (literature)	0.121389999298318	0.66375839307006	0.214851607631622	-16.2986834268156	-28.0942636572969	-26.3151355119596	-0.347132902854315
RISE446.SG	1344	RISE446	burial 13 male	tooth	2015	AllentoftNature2015	..	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4486	58	2662-2460 calBCE (4015±38 BP, UBA-27950)	Germany_CordedWare.SG	Bergrheinfeld	Germany	50.009	10.18	Shotgun	1	0.172	184657	..	M	n/a (no relatives detected)	R1a1a1a~	..	U5b1c2	..	..	..	..	..	..	..	..	..	0.023	0.016	None	[0,0.054]	ds.minus	RISE446	PASS (literature)	0	1	0	58.2753634124133	-22.4355844979519	-16.0453397970687	19.1279494161023
ber1M.SG	15938	ber1	ber1	tooth	2019	MalmstromProcBiolSci2019	Malmstrom, Helena	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4483	44	2622-2467 calBCE (4020±30 BP, Beta-423305)	Sweden_BAC.SG	Bergsgraven	Sweden	58.415833	15.625278	Shotgun	..	1.858627	987701	..	M	n/a (no relatives detected)	R1a1a1	1344	U4c1a 	..	HaploFind; PhyloTree mtDNA Build 17, 18 (Feb 2016)	..	..	..	..	..	..	..	..	..	..	..	ds.minus	..	PASS (literature)	0.258622350937841	0.348078612886691	0.393299036175468	-25.6909712112153	-28.4754903708153	-19.2185609582403	-4.73142169845845
I2683	5990	I2683	G3/95	petrous	2017	LazaridisNature2017	Pinhasi, Ron; Alpaslan, Songül; Özsait, Mehmet; Özsait, Nesrin	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4479	41	2621-2467 calBCE (4015±30 BP, PSUAMS-1988)	Turkey_EBA	Mediterranean, Isparta, Harmanören-Göndürle Höyük	Turkey	37.91774	30.70839	1240K	1	5.570575	904777	..	F	n/a (no relatives detected)	..	583	T2b+152	T2b	..	[0.997,1.000]	0.126	0.012	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.007	0.004	None	[0,0.001]	ds.half	S2683.E1.L2	PASS	0.877445981467079	0	0.122554018532921	-51.5221064755076	28.5034282545965	-33.0792781806986	-0.0346669304541427
I1635	1170	I1635	KA1/12	petrous	2016	LazaridisNature2016	Pinhasi, Ron	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4476	46	2623-2461 calBCE (4005±35 BP, Poz-81102)	Armenia_EBA	Kalavan	Armenia	40.65	45.1167	1240K	1	2.877	817935	..	M	n/a (no relatives detected)	R1b1a2a	483	X2f	..	..	[0.997,1.000]	0.093	0.416	3945	0.006899	4.956609016	[0.004,0.01]	0.005	0.008	None	[0,0.021]	ds.half	S1635.E1.L1	PASS	0.730791293887183	0	0.269208706112817	-47.3686579836628	10.3385285880104	-45.7851245904073	-15.3316408491569
I0103	1431	I0103	ESP16	tooth	2015	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	Haak, Wolfgang	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4472	39	2617-2461 calBCE (4000±31 BP, MAMS-21488)	Germany_CordedWare	Esperstedt	Germany	51.42	11.68	1240K	3	17.528	1049840	..	F	n/a (no relatives detected)	..	..	W6a	..	..	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0	0.005	None	[0,0.01]	ds.plus,ds.half,ds.half	S0103.L1,S0660.L1,S0661.L1	PASS (mtmatchmax=0.974-0.981)	0.330432855802898	0.0271742415884345	0.642392902608667	-35.1285628739714	-37.3250843750805	-27.719128502815	-17.5115856306847
I2630	2127	I2630	GENSCOT02	petrous	2018	OlaldeNature2018	Armit, Ian	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4471	41	2618-2461 calBCE (3999±32 BP, SUERC-68632)	Scotland_N	Scotland, Orkney, Isbister	Great Britain	58.74	-2.916	1240K	1	5.836	932048	..	M	n/a (no relatives detected)	I2a1a2	155	K1a4	..	..	..	0.093	0.417	8484	0.003799	5.224773928	[0.002,0.005]	-0.003	0.004	None	[0,0.005]	ds.half	S2630.E1.L2	PASS	0.823239390896327	0	0.176760609103673	-53.3510159073778	22.0219628368375	19.189956062797	25.5528336924772
MX192	17025	MX192	Individuum 4/15	petrous	2020	FurtwanglerNatureCommunications2020	Krause, Johannes	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4470	33	2571-2467 calBCE (3994±20 BP, BE-7997.1.1)	Switzerland_EBA_2_1d.rel.MX195.MX197	Spreitenbach CWC	Switzerland	47.255	8.2158	1240K	1	0.847502	501165	..	M	Switzerland Spreitenbach CWC Family B (3 members) (MX192, MX195, and MX197 are all 1st degree relatives of each other) 	I2a1a2	..	H11a+152	..	..	..	..	..	..	0.0081	..	..	-0.014	0.014	None	[0,0.013]	ds.half	MX192	PASS	0.340233308312697	0.28917362811143	0.370593063575873	-27.6054003009413	-21.5874523160269	-20.51614893847	-1.91362989712721
I0550	960	I0550	KAR22A	tooth	2015	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	Haak, Wolfgang	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4469	33	2572-2467 calBCE (3993±21 BP, MAMS-23344)	Germany_LN_Karsdorf	Karsdorf	Germany	51.28305556	11.65	1240K	1	0.15	161187	..	F	n/a (no relatives detected)	..	181	T1a1	..	..	..	0.107	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.057	0.041	Model_Misspecified	[0,0.023]	ds.half	S0550.L1	PASS	0	1	0	65.9793302820987	-16.7152736189119	-15.2885346631452	19.9229748471109
LD1174.SG	13348	LD1174	LD1174	petrous	2019	GonzalesFortesProcRoyalSocB2019	GonzalesFortesProcRoyalSocB2019	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4466	41	2578-2459 calBCE (3989±30 BP, Beta-441391)	Spain_MN.SG	Lucena, Sima del Angel	Spain	37.406111	-4.416389	Shotgun	..	2.252519	913135	..	F	n/a (no relatives detected)	..	..	U5b2b5	U5b2b5	PhyloTree, GonzalesFortesProcRoyalSocB2019	..	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	..	..	..	..	ds.minus	..	PASS (literature)	0.790117932082795	0	0.209882067917205	-48.8452728282506	17.9765434915064	23.1172231251531	15.8340525700987
I1633	1171	I1633	KA1/14	petrous	2016	LazaridisNature2016	Pinhasi, Ron	Direct: 95.4%; IntCal20, OxCal v4.4.2 Bronk Ramsey (2020); r:5; Atmospheric data from Reimer et al (2020)	4465	48	2621-2354 calBCE (3990±35 BP, Poz-22234)	Armenia_EBA	Kalavan	Armenia	40.65	45.1167	1240K	1	3.342	828539	..	F	n/a (no relatives detected)	..	429	H1u	..	..	[0.953,0.976]	0.157	0.013	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0	0.004	None	[0,0.008]	ds.half	S1633.E1.L1	PASS (mtcontam=[0.953,0.976])	0.704258936200711	0	0.295741063799289	-48.3869572701283	6.9929574484775	-49.4669795041081	-18.0096837963086
